nodesize,ntree,replace
1,250,TRUE
2,250,TRUE
4,250,TRUE
8,250,TRUE
1,500,TRUE
2,500,TRUE
4,500,TRUE
8,500,TRUE
1,750,TRUE
2,750,TRUE
4,750,TRUE
8,750,TRUE
1,1000,TRUE
2,1000,TRUE
4,1000,TRUE
8,1000,TRUE
1,1250,TRUE
2,1250,TRUE
4,1250,TRUE
8,1250,TRUE
1,1500,TRUE
2,1500,TRUE
4,1500,TRUE
8,1500,TRUE
1,1750,TRUE
2,1750,TRUE
4,1750,TRUE
8,1750,TRUE
1,2000,TRUE
2,2000,TRUE
4,2000,TRUE
8,2000,TRUE
1,2250,TRUE
2,2250,TRUE
4,2250,TRUE
8,2250,TRUE
1,2500,TRUE
2,2500,TRUE
4,2500,TRUE
8,2500,TRUE
1,250,FALSE
2,250,FALSE
4,250,FALSE
8,250,FALSE
1,500,FALSE
2,500,FALSE
4,500,FALSE
8,500,FALSE
1,750,FALSE
2,750,FALSE
4,750,FALSE
8,750,FALSE
1,1000,FALSE
2,1000,FALSE
4,1000,FALSE
8,1000,FALSE
1,1250,FALSE
2,1250,FALSE
4,1250,FALSE
8,1250,FALSE
1,1500,FALSE
2,1500,FALSE
4,1500,FALSE
8,1500,FALSE
1,1750,FALSE
2,1750,FALSE
4,1750,FALSE
8,1750,FALSE
1,2000,FALSE
2,2000,FALSE
4,2000,FALSE
8,2000,FALSE
1,2250,FALSE
2,2250,FALSE
4,2250,FALSE
8,2250,FALSE
1,2500,FALSE
2,2500,FALSE
4,2500,FALSE
8,2500,FALSE
