version,outcome,mean,lb,ub
withXB,Overall,0.827978034682583,0.825417464383301,0.830538604981865
noXB,Overall,0.775607559186025,0.773265539305788,0.777949579066263
withXB,Z0,0.911129063218194,0.908605221090865,0.913652905345523
noXB,Z0,0.865623909196267,0.86152970640417,0.869718111988364
withXB,Z1,0.81715255904535,0.81287999661037,0.821425121480329
noXB,Z1,0.810832134715594,0.806441672008184,0.815222597423004
withXB,Z2,0.794839701886792,0.789976542617216,0.799702861156368
noXB,Z2,0.725511919126659,0.720033751211842,0.730990087041477
withXB,Z3,0.858133953520499,0.854270357081833,0.861997549959165
noXB,Z3,0.768934420449892,0.76492324118383,0.772945599715954
